sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,wall_thickness_mm,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes,fieldnotes
MD2,m,mid,09:53:30,02/26/2024,1,34.4,33.9,33.9,,70,f0000,N,med,83.32,,,
MD2,m,low,09:57:40,02/26/2024,2,36.6,36.7,36.1,,45.16,f0000,E,med,83.32,,,
MD2,m,mid,10:01:15,02/26/2024,3,34.3,34,34.4,,47.11,f0000,S,med,83.32,,,
MD2,m,low,10:04:35,02/26/2024,4,33.4,34,34,,59.36,f0000,W,med,83.32,,,
MD2,m,top ,10:08:00,02/26/2024,5,34,33.6,33.2,,150,f0000,,med,83.32,,,
MD2,s,1,10:11:50,02/26/2024,6,36.1,35.7,35.5,,,f0000,N,lg,183.85,,,
MD9,m,mid,11:29:50,02/26/2024,1,33.6,33.3,33.4,,160,f0001,N,med,83.32,,Extender,mainly dead mound. 2/5 positive fluxes. termites found. moss on exterior 
MD9,m,low,11:34:00,02/26/2024,2,35.3,34.8,35,,149,f0001,E,med,83.32,,Extender,mainly dead mound. 2/5 positive fluxes. termites found. moss on exterior 
MD9,m,mid,11:37:10,02/26/2024,3,35.5,36.1,36.1,,145.21,f0001,S,med,83.32,,Extender,mainly dead mound. 2/5 positive fluxes. termites found. moss on exterior 
MD9,m,low,11:40:55,02/26/2024,4,35.5,34.8,34.7,,229.15,f0001,W,med,83.32,,Extender,mainly dead mound. 2/5 positive fluxes. termites found. moss on exterior 
MD9,m,top ,11:44:10,02/26/2024,5,35.2,35.2,35.1,,201.84,f0001,,med,83.32,,Extender,mainly dead mound. 2/5 positive fluxes. termites found. moss on exterior 
MD9,s,1,11:47:30,02/26/2024,6,36.7,36,35.9,,,f0001,N,lg,183.85,,Extender,mainly dead mound. 2/5 positive fluxes. termites found. moss on exterior 
MD10,m,mid,13:13:40,02/26/2024,1,37.4,36.6,36.6,,8.63,f0002,N,sm,47.78,,,
MD10,m,low,13:17:05,02/26/2024,2,36.2,36.4,37.6,,8.56,f0002,E,sm,47.78,,,
MD10,m,mid,13:20:05,02/26/2024,3,38.6,39.3,40.2,,7.05,f0002,S,sm,47.78,,,
MD10,m,low,13:22:55,02/26/2024,4,40,39.5,39.7,,9.11,f0002,W,sm,47.78,,,
MD10,s,1,13:26:30,02/26/2024,5,44,43,42.9,,,f0002,N,lg,183.85,,,
MD11,m,mid,13:44:30,02/26/2024,1,38.8,39,39.1,,7.66,f0003,N,med,83.32,,Extender,
MD11,m,low,13:47:40,02/26/2024,2,38.8,39.6,39.5,,16.19,f0003,E,med,83.32,,Extender,
MD11,m,mid,13:51:00,02/26/2024,3,37.9,37.4,37.2,,13.72,f0003,S,med,83.32,,Extender,
MD11,m,low,13:54:00,02/26/2024,4,37.4,37.9,37.6,,19.55,f0003,W,med,83.32,,Extender,
MD11,m,top ,13:57:00,02/26/2024,5,38,38,37.9,,15.21,f0003,,med,83.32,,Extender,use just the first minute - second half of measurement was wonky
MD11,s,1,14:01:30,02/26/2024,6,39.4,38.9,38.6,,,f0003,N,lg,183.85,,Extender,
MD15,m,mid,14:50:35,02/26/2024,1,32.8,32.4,32,,9.22,f0004,N,sm,47.78,,,
MD15,m,low,14:55:10,02/26/2024,2,32.1,31.6,31,,9.6,f0004,E,sm,47.78,,,
MD15,m,mid,14:58:20,02/26/2024,3,30.5,30.4,30.3,,6.3,f0004,S,sm,47.78,,,
MD15,m,low,15:01:35,02/26/2024,4,29.3,29.1,29,,8.77,f0004,W,sm,47.78,,,
MD15,s,1,15:05:25,02/26/2024,5,29.1,29,29.1,,,f0004,N,lg,183.85,,,
MD55,m,mid,10:31:45,02/27/2024,1,33.9,33.5,33.6,,27.8,f0000,N,med,83.32,,Extender,"mound wall was soft, not very thick, clay-like"
MD55,m,low,10:34:50,02/27/2024,2,33.9,34.4,34.6,,27.8,f0000,E,med,83.32,,Extender,"mound wall was soft, not very thick, clay-like"
MD55,m,mid,10:38:30,02/27/2024,3,36.1,36.4,36.5,,23.62,f0000,S,med,83.32,,Extender,"mound wall was soft, not very thick, clay-like"
MD55,m,low,10:41:40,02/27/2024,4,35.7,35.4,35.1,,38.3,f0000,W,med,83.32,,Extender,"mound wall was soft, not very thick, clay-like"
MD55,m,top ,10:45:00,02/27/2024,5,36.2,36.5,36.7,,18.8,f0000,,med,83.32,,Extender,"mound wall was soft, not very thick, clay-like"
MD55,s,1,10:48:00,02/27/2024,6,38.5,37.4,37.2,,,f0000,N,lg,183.85,,Extender,"mound wall was soft, not very thick, clay-like"
MD58,m,mid,11:27:05,02/27/2024,1,38.2,38.3,38.8,,13.3,f0001,N,med,83.32,,Extender,
MD58,m,low,11:30:40,02/27/2024,2,39.8,40.5,40.7,,11.59,f0001,E,med,83.32,,Extender,
MD58,m,mid,11:34:00,02/27/2024,3,42.5,43,43.1,,10.32,f0001,S,med,83.32,,Extender,
MD58,m,low,11:37:20,02/27/2024,4,39.8,39.3,40.1,,12.66,f0001,W,med,83.32,,Extender,
MD58,m,top ,11:40:30,02/27/2024,5,42.5,43.3,43.4,,13.16,f0001,,med,83.32,,Extender,
MD58,s,1,11:43:25,02/27/2024,6,45.5,44.7,44.3,,,f0001,N,lg,183.85,,Extender,
MD27,m,mid,12:45:10,02/27/2024,1,43.1,44.1,44.9,,51.3,f0002,N,med,83.32,,Extender,
MD27,m,low,12:47:55,02/27/2024,2,42.1,42.3,42.8,,62.3,f0002,E,med,83.32,,Extender,
MD27,m,mid,12:51:15,02/27/2024,3,43.4,43.7,43.2,,81.9,f0002,S,med,83.32,,Extender,
MD27,m,low,12:54:20,02/27/2024,4,42.1,41.3,41.7,,66.96,f0002,W,med,83.32,,Extender,
MD27,m,top ,12:57:25,02/27/2024,5,45,44.6,44.2,,67.5,f0002,,med,83.32,,Extender,
MD27,s,1,13:00:15,02/27/2024,6,50,49.2,48.7,,,f0002,N,lg,183.85,,Extender,
MD54,m,mid,09:14:00,3/4/2024,1,29.2,28.4,28.4,,6.6,f0000,N,sm,47.78,,,
MD54,m,low,09:17:20,3/4/2024,2,29.2,29.4,29.5,,6.92,f0000,E,sm,47.78,,,
MD54,m,mid,09:20:20,3/4/2024,3,31.2,31.2,31.2,,7.77,f0000,S,sm,47.78,,,
MD54,m,low,09:23:20,3/4/2024,4,31.2,31.4,31.6,,2.54,f0000,W,sm,47.78,,,
MD54,s,1,09:26:50,3/4/2024,5,34.3,33,33,,,f0000,N,lg,183.85,,,
MD61,m,mid,09:51:10,3/4/2024,1,31.4,31.7,32.1,,11.35,f0001,N,med,83.32,,Extender,damaged by humans
MD61,m,low,09:54:30,3/4/2024,2,31.1,31.1,31.7,,4.34,f0001,E,med,83.32,,Extender,damaged by humans
MD61,m,mid,09:58:00,3/4/2024,3,31,31.1,31.1,,4.29,f0001,S,med,83.32,,Extender,damaged by humans
MD61,m,low,10:00:45,3/4/2024,4,33.5,33.3,32.7,,6.62,f0001,W,med,83.32,,Extender,damaged by humans
MD61,m,top,10:03:50,3/4/2024,5,34.2,34.2,34.2,,6.55,f0001,,med,83.32,,Extender,damaged by humans
MD61,s,1,10:07:10,3/4/2024,6,35.5,33.5,33.5,,,f0001,N,lg,183.85,,Extender,damaged by humans
MD65,m,mid,10:39:15,3/4/2024,1,31.2,33,33.8,,9.25,f0002,N,med,83.32,,Extender,
MD65,m,low,10:42:35,3/4/2024,2,33.9,36.2,35.9,,8.6,f0002,E,med,83.32,,Extender,
MD65,m,mid,10:45:50,3/4/2024,3,33,32.8,32.9,,17.5,f0002,S,med,83.32,,Extender,
MD65,m,low,10:48:35,3/4/2024,4,33.3,33.3,33.4,,7.42,f0002,W,med,83.32,,Extender,
MD65,m,top,10:52:40,3/4/2024,5,35.5,34.5,34.2,,18.6,f0002,,med,83.32,,Extender,
MD65,s,1,10:55:25,3/4/2024,6,37.8,36.3,36.1,,,f0002,N,lg,183.85,,Extender,
MD50,m,mid,11:13:40,3/4/2024,1,40.5,40.1,40.9,,12.98,f0003,N,med,83.32,,Extender,
MD50,m,low,11:16:25,3/4/2024,2,37.2,37.2,36.8,,13.93,f0003,E,med,83.32,,Extender,
MD50,m,mid,11:20:00,3/4/2024,3,37.2,36.6,36.3,,12.36,f0003,S,med,83.32,,Extender,"use first minute, second half looks weird"
MD50,m,low,11:23:50,3/4/2024,4,37.3,38.2,38.3,,11.8,f0003,W,med,83.32,,Extender,
MD50,m,top,11:26:35,3/4/2024,5,37.7,38,39.1,,4,f0003,,med,83.32,,Extender,
MD50,s,1,11:29:40,3/4/2024,6,43.9,45.1,46.1,,,f0003,N,lg,183.85,,Extender,
MD63,m,mid,12:29:00,3/4/2024,1,35.8,35.9,36.5,,69,f0004,N,med,83.32,,Extender,
MD63,m,low,12:31:45,3/4/2024,2,36.5,36.5,36.5,,83.5,f0004,E,med,83.32,,Extender,"moss growing on mound, negative flux"
MD63,m,mid,12:34:45,3/4/2024,3,36.5,36.2,36.2,,48.54,f0004,S,med,83.32,,Extender,
MD63,m,low,12:38:15,3/4/2024,4,42.7,37.5,37.5,,44.68,f0004,W,med,83.32,,Extender,measured in the damaged part of the mound
MD63,m,top,12:41:15,3/4/2024,5,36.5,36.5,36.3,,191.91,f0004,,med,83.32,,Extender,
MD63,s,1,12:44:00,3/4/2024,6,37.3,37.3,38.3,,,f0004,N,lg,183.85,,Extender,
MD48,m,mid,13:12:00,3/4/2024,1,36.8,37,37.7,,27.29,f0005,N,med,83.32,,Extender,
MD48,m,low,13:14:50,3/4/2024,2,36.2,36.6,36.4,,62.28,f0005,E,med,83.32,,Extender,
MD48,m,mid,13:17:55,3/4/2024,3,35.4,34.4,34.4,,96.46,f0005,S,med,83.32,,Extender,
MD48,m,low,13:21:10,3/4/2024,4,35.4,35.7,35.6,,39.94,f0005,W,med,83.32,,Extender,
MD48,m,top,13:24:05,3/4/2024,5,34.4,34.4,34.4,,63,f0005,,med,83.32,,Extender,
MD48,s,1,13:26:55,3/4/2024,6,37,36.4,36.4,,,f0005,N,lg,183.85,,Extender,
MD32,m,mid,14:07:10,3/4/2024,1,36.8,37.9,37.8,,40.6,f0006,N,med,83.32,,Extender,
MD32,m,low,14:10:10,3/4/2024,2,36.1,37.9,40.2,,22.13,f0006,E,med,83.32,,Extender,
MD32,m,mid,14:24:00,3/4/2024,3,40.9,40.5,39.8,,24.49,f0006,S,med,83.32,,Extender,"redid measurements, original started at 14:13:30"
MD32,m,low,14:17:20,3/4/2024,4,40.4,40.4,39.9,,12.66,f0006,W,med,83.32,,Extender,
MD32,m,top,14:20:35,3/4/2024,5,42.4,43.2,43.6,,32.76,f0006,,med,83.32,,Extender,
MD32,s,1,14:30:00,3/4/2024,6,42.8,41.8,41.6,,,f0006,N,lg,183.85,,,
MD37,m,mid,09:53:40,3/5/2024,1,32.2,32.6,32.5,,4.53,f0000,N,sm,47.78,,,
MD37,m,low,09:56:25,3/5/2024,2,31.7,31.2,31.5,,4.21,f0000,E,sm,47.78,,,
MD37,m,mid,09:59:00,3/5/2024,3,32.1,32.3,32.3,,12.21,f0000,S,sm,47.78,,,
MD37,m,low,10:01:30,3/5/2024,4,32.5,32.3,32.5,,13.01,f0000,W,sm,47.78,,,
MD37,s,1,10:04:30,3/5/2024,5,41,41.6,41.9,,,f0000,N,lg,183.85,,,
MD42,m,mid,10:16:30,3/5/2024,1,34.9,33.9,33.4,,8.57,f0001,N,sm,47.78,,,
MD42,m,low,10:19:00,3/5/2024,2,34.2,35.2,36,,7.83,f0001,E,sm,47.78,,,
MD42,m,mid,10:21:50,3/5/2024,3,36.1,35.7,35.4,,9.28,f0001,S,sm,47.78,,,
MD42,m,low,10:24:15,3/5/2024,4,34.5,36.5,37,,3.73,f0001,W,sm,47.78,,,
MD42,s,1,10:26:55,3/5/2024,5,42.8,44.5,43.6,,,f0001,N,lg,183.85,,,
MD22,m,mid,10:51:20,3/5/2024,1,38,39,39,,1.6,f0002,N,sm,47.78,,,
MD22,m,low,10:54:00,3/5/2024,2,37.8,37.6,37.4,,10.4,f0002,E,sm,47.78,,,
MD22,m,mid,10:56:40,3/5/2024,3,37.1,36.6,36.5,,4.18,f0002,S,sm,47.78,,,
MD22,m,low,10:59:30,3/5/2024,4,35.5,35.2,35.2,,7.03,f0002,W,sm,47.78,,,
MD22,s,1,11:02:15,3/5/2024,5,46,44.4,43.4,,,f0002,N,lg,183.85,,,
MD24,m,mid,11:13:25,3/5/2024,1,36.2,37.6,37.7,,5.92,f0003,N,sm,47.78,,,
MD24,m,low,11:16:00,3/5/2024,2,37,37.2,37.2,,6.66,f0003,E,sm,47.78,,,
MD24,m,mid,11:18:30,3/5/2024,3,37.4,37.6,37.3,,4.83,f0003,S,sm,47.78,,,
MD24,m,low,11:21:10,3/5/2024,4,36.2,36.4,36.8,,3.52,f0003,W,sm,47.78,,,
MD24,s,1,11:23:45,3/5/2024,5,42.9,42.1,41.6,,,f0003,N,lg,183.85,,,
MD36,m,mid,12:24:45,3/5/2024,1,38,37.5,37.4,,10.31,f0004,N,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,m,low,12:27:20,3/5/2024,2,38.4,38.8,38.6,,9.05,f0004,E,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,m,mid,12:30:00,3/5/2024,3,38.6,36.7,36.1,,9.87,f0004,S,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,m,low,12:32:35,3/5/2024,4,36.3,37.5,38.2,,21.9,f0004,W,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,s,1,12:35:10,3/5/2024,5,42,43.4,43.4,,,f0004,N,lg,183.85,,"not very alive looking, 3/4 negative fluxes",
MD59,m,mid,09:40:40,3/7/2024,1,35.5,37.6,38,,28.54,f0000,N,med,83.32,,Extender,
MD59,m,low,09:43:30,3/7/2024,2,34.6,36.2,36.7,,23.06,f0000,E,med,83.32,,Extender,
MD59,m,mid,09:46:15,3/7/2024,3,35.1,35,35.4,,27.4,f0000,S,med,83.32,,Extender,
MD59,m,low,09:49:55,3/7/2024,4,38.8,41.3,42.3,,51.48,f0000,W,med,83.32,,Extender,
MD59,m,top,09:52:35,3/7/2024,5,39.5,39,39.3,,58.21,f0000,,med,83.32,,Extender,
MD59,s,1,09:55:10,3/7/2024,6,38.9,37.3,37,,,f0000,N,lg,183.85,,Extender,
MD25,m,mid,10:47:10,3/7/2024,1,38.4,37.9,38.3,,6.96,f0001,N,med,83.32,,Extender,
MD25,m,low,10:50:00,3/7/2024,2,39.2,38.2,38,,6.08,f0001,E,med,83.32,,Extender,
MD25,m,mid,10:52:45,3/7/2024,3,38.7,37.8,38.4,,7.24,f0001,S,med,83.32,,Extender,
MD25,m,low,10:55:35,3/7/2024,4,40.8,39.5,39.7,,8.97,f0001,W,med,83.32,,Extender,
MD25,m,top,10:58:55,3/7/2024,5,42.2,50.5,40.2,,7.59,f0001,,med,83.32,,Extender,
MD25,s,1,11:01:50,3/7/2024,6,39.9,37.6,37.1,,,f0001,N,lg,183.85,,Extender,
MD26,m,mid,11:10:40,3/7/2024,1,40.7,39.7,39.8,,46.2,f0002,N,med,83.32,,Extender,
MD26,m,low,11:13:30,3/7/2024,2,40.2,39.3,39.6,,75.61,f0002,E,med,83.32,,Extender,
MD26,m,mid,11:16:40,3/7/2024,3,42.1,41.3,41,,56.28,f0002,S,med,83.32,,Extender,
MD26,m,low,11:19:20,3/7/2024,4,42.2,41.9,41.8,,108.92,f0002,W,med,83.32,,Extender,
MD26,m,top,11:22:20,3/7/2024,5,42.4,41.8,41.3,,31.76,f0002,,med,83.32,,Extender,
MD26,s,1,11:25:20,3/7/2024,6,39.5,39.9,39.9,,,f0002,N,lg,183.85,,Extender,