ID,material,chunk,measurement_day,flux_start,avg_temp_C,volume_chunk_cm3,mass_wtermite_g,mass_stermite_g,mass_termite_g,depth_mound_mat_cm,mass_mound_material_g,all_mass_g,collar_depth_cm,collar_diam_cm,collar_volume_cm3,material_volume_cm3,species,notes
NT04,A,2,2/21/2024,13:18:27,24.0151037,1452,,,0,,0,838.77,9,20,2827.433388,1452,ami,
NT05,T,2,2/21/2024,16:36:28,24.5382158,,3.17,,3.17,,0,0,5,20,1570.796327,0,ami,
NT06,M,2,2/21/2024,16:43:05,24.5609959,,,,0,4.6,835.6,0,5,20,1570.796327,1445.13,ami,
NT07,A,3,2/22/2024,10:02:41,23.995,,,,0,6.8,0,839.77,9,20,2827.433388,2136.28,cop,
NT08,T,3,2/22/2024,10:30:43,24.11821577,,0.04,0.17,0.21,,0,0,5,20,1570.796327,0,cop,
NT09,M,3,2/22/2024,10:38:02,23.68431535,,,,0,6.4,839.56,0,9,20,2827.433388,2010.62,cop,
NT10,A,4,2/22/2024,10:54:40,23.95672199,,,,0,6.6,0,989.64,9,20,2827.433388,2073.45,cop,
NT11,T,4,2/22/2024,11:16:35,24.47161826,,0.02,0.12,0.14,,0,0,5,20,1570.796327,0,cop,
NT12,M,4,2/22/2024,11:21:34,24.08012448,,,,0,6.8,989.5,0,9,20,2827.433388,2136.28,cop,
NT0811TERM,T,0,2/22/2024,11:33:18,24.45896266,,0.05,0.23,0.28,,0,0,5,20,1570.796327,0,cop,termites from chunk 3 and 4
NT14,A,6,2/28/2024,10:14:42,24.30327801,1451.53,,,0,,0,1069.8,9,20,2827.433388,1451.53,ami,
NT15,T,6,2/28/2024,12:24:57,24.63954357,,5.45,0.05,5.5,,0,0,5,20,1570.796327,0,ami,
NT16,M,6,2/28/2024,12:33:13,23.93120332,,,,0,6,1064.3,0,9,20,2827.433388,1884.96,ami,
NT17,A,7,2/28/2024,13:13:03,24.05912863,1255.38,,,0,,0,837.6,9,20,2827.433388,1255.38,ami,
NT18,T,7,2/28/2024,16:33:12,24.77174274,,13.05,0.04,13.09,,0,0,5,20,1570.796327,0,ami,not positive that the worker termite mass is correct. seems high
NT19,M,7,2/28/2024,16:38:09,24.43979253,,,,0,4,824.51,0,9,20,2827.433388,1256.64,ami,
NT21,A,8,3/1/2024,09:41:09,24.10854772,1260,,,0,,0,4.65,9,20,2827.433388,1260,nas,
NT22,T,8,3/1/2024,11:25:30,23.77585062,,3.75,0.9,4.65,,0,0,5,20,1570.796327,0,nas,
NT23,M,8,3/1/2024,11:30:24,23.28348548,,,,0,5.5,0,0,9,20,2827.433388,1727.88,nas,forgot to take mound material mass
NT24,A,9,3/1/2024,11:58:56,23.8054357,570.752,,,0,,0,548.63,9,20,2827.433388,570.75,nas,
NT25,T,9,3/1/2024,13:10:14,24.26307054,,1.53,0.64,2.17,,0,0,5,20,1570.796327,0,nas,
NT26,M,9,3/1/2024,13:15:08,23.90008299,,,,0,3,546.46,0,9,20,2827.433388,942.48,nas,
NT27,A,10,3/1/2024,14:03:55,23.79618257,192.265,,,0,,0,477.2,9,20,2827.433388,192.27,nas,
NT28,T,10,3/1/2024,14:52:31,24.0866805,,0.59,0.37,0.96,,0,0,5,20,1570.796327,0,nas,
NT29,M,10,3/1/2024,14:57:28,23.6106639,,,,0,2.5,476.24,0,9,20,2827.433388,785.4,nas,
NT30,A,11,3/1/2024,15:12:42,23.69489627,"1,440",,,0,,0,1089.08,9,20,2827.433388,1440,nas,
NT31,T,11,3/1/2024,16:53:37,24.40041494,,2.16,0.59,2.75,,0,0,5,20,1570.796327,0,nas,
NT32,M,11,3/1/2024,16:58:55,23.8253112,,,,0,5.5,1086.33,0,9,20,2827.433388,1727.88,nas,
NT33,A,12,3/6/2024,10:04:01,24.00871369,5.5,,,0,,0,687.96,9,20,2827.433388,1727.875959,cop,
NT34,T,12,3/6/2024,10:50:11,24.21493776,,1.68,0.53,2.21,,0,0,5,20,1570.796327,0,cop,
NT35,M,12,3/6/2024,10:55:36,23.59846473,,,,0,5,685.75,0,9,20,2827.433388,1570.796327,cop,
NT36,A,13,3/6/2024,11:04:42,24.02037344,6,,,0,,0,738.48,9,20,2827.433388,1884.955592,cop,
NT37,T,13,3/6/2024,11:30:02,24.37219917,,0.47,0.31,0.78,,0,0,5,20,1570.796327,0,cop,
NT38,M,13,3/6/2024,11:35:04,23.74049793,,,,0,5.5,737.7,0,9,20,2827.433388,1727.875959,cop,
NT39,A,14,3/6/2024,12:48:30,23.60979253,4.7,,,0,,0,610.99,9,20,2827.433388,1476.548547,cop,
NT40,T,14,3/6/2024,13:14:03,24.26145228,,0.57,0.22,0.79,,0,0,5,20,1570.796327,0,cop,"worker count = 163 individuals, soldier count = 68 individuals"
NT41,M,14,3/6/2024,13:18:57,23.83414938,,,,0,5,610.2,0,9,20,2827.433388,1570.796327,cop,
NT42,A,15,3/6/2024,13:29:39,23.58950207,5.5,,,0,,0,858.09,9,20,2827.433388,1727.875959,cop,
NT43,T,15,3/6/2024,14:01:01,24.48419087,,1.19,0.2,1.39,,0,0,5,20,1570.796327,0,cop,
NT44,M,15,3/6/2024,14:06:57,23.97717842,,,,0,5,856.7,0,9,20,2827.433388,1570.796327,cop,
NT45,A,16,3/6/2024,14:17:09,23.90970954,3.5,,,0,,0,461.78,9,20,2827.433388,1099.557429,cop,
NT46,T,16,3/6/2024,14:38:34,24.0873444,,0.46,0.15,0.61,,0,0,5,20,1570.796327,0,cop,
NT47,M,16,3/6/2024,14:43:29,23.51356846,,,,0,3.7,461.17,0,9,20,2827.433388,1162.389282,cop,
NT49,A,18,3/8/2024,10:13:11,23.85879668,663.708,,,0,,0,555.78,9,20,2827.433388,663.708,nas,
NT50,T,18,3/8/2024,10:39:36,24.14975104,,2.22,0.4,2.62,,0,0,5,20,1570.796327,0,nas,
NT51,M,18,3/8/2024,10:44:34,23.96228216,,,,0,3,553.16,0,9,20,2827.433388,942.4777961,nas,
NT52,A,19,3/9/2024,08:12:17,25.33589212,611.064,,,0,,0,466.73,9,20,2827.433388,611.064,ami,
NT53,T,19,3/9/2024,09:16:32,25.67564315,,2.22,0.01,2.23,,0,0,5,20,1570.796327,0,ami,
NT54,M,19,3/9/2024,09:22:29,24.40178423,,,,0,3.5,464.5,0,9,20,2827.433388,1099.557429,ami,
NT55,A,20,3/9/2024,09:30:54,25.37153527,502.97,,,0,,0,398.29,9,20,2827.433388,502.97,ami,
NT56,T,20,3/9/2024,10:12:39,25.79672199,,0.94,0.01,0.95,,0,0,5,20,1570.796327,0,ami,
NT57,M,20,3/9/2024,10:17:57,25.35161826,,,,0,2.5,397.34,0,9,20,2827.433388,785.3981634,ami,