sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes,fieldnotes
DM1,m,mid,12:26:00,8/15/2023,1,33.3,32.8,32.6,,f0000,N,sm,47.78,,,
DM1,m,low,12:28:50,8/15/2023,2,31.4,30.8,30.3,,f0000,E,sm,47.78,,,
DM1,m,mid,12:31:25,8/15/2023,3,28.3,29.1,29.4,,f0000,S,sm,47.78,,,
DM1,m,low,12:33:55,8/15/2023,4,30.3,30.8,30.8,,f0000,W,sm,47.78,,,
DM2,m,mid,12:36:40,8/15/2023,1,32.9,33.5,33.5,,f0000,N,sm,47.78,,,
DM2,m,low,12:39:10,8/15/2023,2,33.3,32.6,32.3,,f0000,E,sm,47.78,,,
DM2,m,mid,12:41:45,8/15/2023,3,32.2,32.1,31.9,,f0000,S,sm,47.78,,,
DM2,m,low,12:44:25,8/15/2023,4,31.7,31.7,31.7,,f0000,W,sm,47.78,,,
DM3,m,mid,12:47:20,8/15/2023,1,34.2,34.5,34.6,,f0000,N,sm,47.78,,,
DM3,m,low,12:50:05,8/15/2023,2,34.4,34.4,34.4,,f0000,E,sm,47.78,,,
DM3,m,mid,12:52:50,8/15/2023,3,33.8,33.8,33.8,,f0000,S,sm,47.78,,,
DM3,m,low,12:55:35,8/15/2023,4,33.2,33.6,36.9,,f0000,W,sm,47.78,,,
DM1,m,mid,17:02:40,8/15/2023,1,33.6,33.6,32.4,32.3,f0001,N,sm,47.78,,,took extra min temp - cut out first minute
DM1,m,low,17:06:15,8/15/2023,2,30.5,30.6,30.5,,f0001,E,sm,47.78,,,
DM1,m,mid,17:08:55,8/15/2023,3,30,29.7,29.7,,f0001,S,sm,47.78,,,
DM1,m,low,17:11:45,8/15/2023,4,29.7,30.1,30.1,,f0001,W,sm,47.78,,,
DM2,m,mid,17:14:40,8/15/2023,1,30.4,30.8,30.8,,f0001,N,sm,47.78,,,
DM2,m,low,17:17:15,8/15/2023,2,30.1,29.9,29.8,,f0001,E,sm,47.78,,,
DM2,m,mid,17:20:15,8/15/2023,3,29.6,28.5,28.6,,f0001,S,sm,47.78,,,
DM2,m,low,17:22:50,8/15/2023,4,29.4,29.6,29.7,,f0001,W,sm,47.78,,,
DM3,m,mid,17:25:50,8/15/2023,1,27.7,27.9,27.9,,f0001,N,sm,47.78,,,
DM3,m,low,17:28:35,8/15/2023,2,28.1,28.3,28.4,,f0001,E,sm,47.78,,,"end of measurement went a bit weird, might need to cut off "
DM3,m,mid,17:31:25,8/15/2023,3,27.5,27.7,27.7,,f0001,S,sm,47.78,,,
DM3,m,low,17:34:10,8/15/2023,4,27.8,27.9,28,,f0001,W,sm,47.78,,,
DM1,m,mid,22:03:30,8/15/2023,1,20.8,20,19.9,,f0002,N,sm,47.78,,,
DM1,m,low,22:06:20,8/15/2023,2,19.1,19.1,19.1,,f0002,E,sm,47.78,,,
DM1,m,mid,22:09:15,8/15/2023,3,18.9,18.8,18.9,,f0002,S,sm,47.78,,,
DM1,m,low,22:12:10,8/15/2023,4,19,19,19.2,,f0002,W,sm,47.78,,,
DM2,m,mid,22:15:00,8/15/2023,1,19.8,19.8,19.9,,f0002,N,sm,47.78,,,
DM2,m,low,22:17:45,8/15/2023,2,19.3,19.3,19.4,,f0002,E,sm,47.78,,,
DM2,m,mid,22:20:35,8/15/2023,3,19.4,19.4,19.4,,f0002,S,sm,47.78,,,
DM2,m,low,22:23:15,8/15/2023,4,19.4,19.5,19.6,,f0002,W,sm,47.78,,,
DM3,m,mid,22:27:50,8/15/2023,1,18.8,18.9,19,,f0002,N,sm,47.78,,,
DM3,m,low,22:30:35,8/15/2023,2,19.4,19.6,19.7,,f0002,E,sm,47.78,,,
DM3,m,mid,22:33:10,8/15/2023,3,19.7,20,20,,f0002,S,sm,47.78,,,
DM3,m,low,22:35:40,8/15/2023,4,21.5,21.9,22.1,,f0002,W,sm,47.78,,,
DM1,m,mid,06:02:10,8/16/2023,1,11.2,11.4,11.5,,f0000,N,sm,47.78,,,
DM1,m,low,06:04:45,8/16/2023,2,11.5,11.5,11.6,,f0000,E,sm,47.78,,,
DM1,m,mid,06:09:00,8/16/2023,3,11.5,11.5,11.5,,f0000,S,sm,47.78,,,
DM1,m,low,06:11:45,8/16/2023,4,11.2,11.2,11.2,,f0000,W,sm,47.78,,,
DM2,m,mid,06:14:35,8/16/2023,1,10.6,10.9,11,,f0000,N,sm,47.78,,,
DM2,m,low,06:17:20,8/16/2023,2,11.2,11.4,11.4,,f0000,E,sm,47.78,,,
DM2,m,mid,06:19:55,8/16/2023,3,10.7,10.9,10.9,,f0000,S,sm,47.78,,,
DM2,m,low,06:22:35,8/16/2023,4,11.2,11.3,11.3,,f0000,W,sm,47.78,,,
DM3,m,mid,06:25:25,8/16/2023,1,10.5,10.4,10.4,,f0000,N,sm,47.78,,,
DM3,m,low,06:28:10,8/16/2023,2,9.8,9.8,9.8,,f0000,E,sm,47.78,,,
DM3,m,mid,06:30:55,8/16/2023,3,10,10,10,,f0000,S,sm,47.78,,,
DM3,m,low,06:33:40,8/16/2023,4,10.2,10.4,10.5,,f0000,W,sm,47.78,,,
DM4,m,mid,12:01:30,8/16/2023,1,34,34.8,34,,f0001,N,med,83.32,,Extender,
DM4,m,low,12:04:00,8/16/2023,2,39.5,39,38.7,,f0001,E,med,83.32,,Extender,
DM4,m,mid,12:07:45,8/16/2023,3,36.7,36.2,36.2,,f0001,S,med,83.32,,Extender,
DM4,m,low,12:12:05,8/16/2023,4,37.9,37.9,37.8,,f0001,W,med,83.32,,Extender,
DM4,m,top,12:14:40,8/16/2023,5,37.1,36.9,36.1,,f0001,,med,83.32,,Extender,
DM5,m,mid,12:18:50,8/16/2023,1,35.5,36.1,36.4,,f0001,N,med,83.32,,Extender,
DM5,m,low,12:21:40,8/16/2023,2,35.6,36.6,36.7,,f0001,E,med,83.32,,Extender,
DM5,m,mid,12:24:40,8/16/2023,3,36.9,36.9,36.6,,f0001,S,med,83.32,,Extender,
DM5,m,low,12:27:55,8/16/2023,4,37.4,37.9,37.9,,f0001,W,med,83.32,,Extender,
DM5,m,top,12:31:00,8/16/2023,5,33.5,32.9,32.2,,f0001,,med,83.32,,Extender,
DM6,m,mid,12:40:00,8/16/2023,1,34.1,34.5,34.9,,f0002,N,med,83.32,,Extender,
DM6,m,low,12:42:45,8/16/2023,2,32.9,32.6,32.6,,f0002,E,med,83.32,,Extender,mound in shade
DM6,m,mid,12:45:25,8/16/2023,3,32.7,32.4,31.8,,f0002,S,med,83.32,,Extender,mound in shade
DM6,m,low,12:48:05,8/16/2023,4,31.2,31.5,31.8,,f0002,W,med,83.32,,Extender,mound in shade
DM6,m,top,12:50:45,8/16/2023,5,33.2,33.4,33.4,,f0002,,med,83.32,,Extender,mound in shade
DM4,m,mid,17:00:15,8/16/2023,1,30.5,30.5,30.5,,f0003,N,med,83.32,,Extender,
DM4,m,low,17:02:50,8/16/2023,2,28.8,29.1,29.1,,f0003,E,med,83.32,,Extender,
DM4,m,mid,17:05:25,8/16/2023,3,29.6,29.3,29.3,,f0003,S,med,83.32,,Extender,
DM4,m,low,17:08:05,8/16/2023,4,29.3,29.2,29.2,,f0003,W,med,83.32,,Extender,
DM4,m,top,17:10:45,8/16/2023,5,28,28.2,28.3,,f0003,,med,83.32,,Extender,
DM5,m,mid,17:17:05,8/16/2023,1,28.8,28.8,28.6,,f0004,N,med,83.32,,Extender,"LGR blipped out, check and make sure data recorded ok"
DM5,m,low,17:26:05,8/16/2023,2,27.6,27.8,28.3,,f0005,E,med,83.32,,Extender,new LGR file started due to restart
DM5,m,mid,17:28:50,8/16/2023,3,27.7,26.9,27.6,,f0005,S,med,83.32,,Extender,
DM5,m,low,17:31:20,8/16/2023,4,26.8,27.1,27.3,,f0005,W,med,83.32,,Extender,
DM5,m,top,17:34:00,8/16/2023,5,26,26.4,26.8,,f0005,,med,83.32,,Extender,
DM6,m,mid,17:39:05,8/16/2023,1,25.3,26.5,26.8,,f0005,N,med,83.32,,Extender,
DM6,m,low,17:41:40,8/16/2023,2,25.4,25.7,26.1,,f0005,E,med,83.32,,Extender,
DM6,m,mid,17:44:20,8/16/2023,3,26.7,26.2,25.9,,f0005,S,med,83.32,,Extender,
DM6,m,low,17:47:20,8/16/2023,4,26.6,26.6,26.4,,f0005,W,med,83.32,,Extender,
DM6,m,top,17:49:55,8/16/2023,5,24.2,24,24.2,,f0005,,med,83.32,,Extender,
DM4,m,mid,21:50:10,8/16/2023,1,17.8,15.5,15.4,,f0006,N,med,83.32,,Extender,
DM4,m,low,21:52:45,8/16/2023,2,15.1,15,15.8,,f0006,E,med,83.32,,Extender,
DM4,m,mid,21:55:40,8/16/2023,3,14.7,15.5,16.1,,f0006,S,med,83.32,,Extender,
DM4,m,low,21:58:20,8/16/2023,4,15.8,16.4,17,,f0006,W,med,83.32,,Extender,
DM4,m,top,22:01:20,8/16/2023,5,17.1,19.9,20.9,,f0006,,med,83.32,,Extender,
DM5,m,mid,22:05:55,8/16/2023,1,22.1,18.7,18.5,,f0006,N,med,83.32,,Extender,
DM5,m,low,22:08:45,8/16/2023,2,16.9,16.8,17.1,,f0006,E,med,83.32,,Extender,
DM5,m,mid,22:11:40,8/16/2023,3,16,16.6,18.3,,f0006,S,med,83.32,,Extender,
DM5,m,low,22:14:35,8/16/2023,4,16.2,16.5,16.9,,f0006,W,med,83.32,,Extender,
DM5,m,top,22:17:25,8/16/2023,5,16.4,17,17.5,,f0006,,med,83.32,,Extender,
DM6,m,mid,22:21:30,8/16/2023,1,13.6,15.8,17.4,,f0006,N,med,83.32,,Extender,
DM6,m,low,22:24:05,8/16/2023,2,14.7,15.9,16.7,,f0006,E,med,83.32,,Extender,
DM6,m,mid,22:26:50,8/16/2023,3,14.7,15.7,16.1,,f0006,S,med,83.32,,Extender,
DM6,m,low,22:29:35,8/16/2023,4,15.8,16.4,16.6,,f0006,W,med,83.32,,Extender,
DM6,m,top,22:32:30,8/16/2023,5,15.7,16.9,17.7,,f0006,,med,83.32,,Extender,
DM4,m,mid,06:01:00,8/17/2023,1,13.2,13.1,13.2,,f0000,N,med,83.32,,Extender,
DM4,m,low,06:03:40,8/17/2023,2,12.5,12.7,12.8,,f0000,E,med,83.32,,Extender,
DM4,m,mid,06:06:20,8/17/2023,3,12.6,13,13.2,,f0000,S,med,83.32,,Extender,
DM4,m,low,06:09:10,8/17/2023,4,12.8,12.9,12.9,,f0000,W,med,83.32,,Extender,
DM4,m,top,06:12:10,8/17/2023,5,12.7,13.1,13.4,,f0000,,med,83.32,,Extender,
DM5,m,mid,06:16:10,8/17/2023,1,12.6,13.1,13.2,,f0000,N,med,83.32,,Extender,
DM5,m,low,06:19:10,8/17/2023,2,13.2,13.5,13.6,,f0000,E,med,83.32,,Extender,
DM5,m,mid,06:22:25,8/17/2023,3,14.4,13.4,13.6,,f0000,S,med,83.32,,Extender,
DM5,m,low,06:27:00,8/17/2023,4,13.7,13.8,13.9,,f0000,W,med,83.32,,Extender,
DM5,m,top,06:29:50,8/17/2023,5,12.9,13.1,13.2,,f0000,,med,83.32,,Extender,
DM6,m,mid,06:33:40,8/17/2023,1,12.9,13.6,14,,f0000,N,med,83.32,,Extender,
DM6,m,low,06:36:35,8/17/2023,2,13.5,13.8,13.9,,f0000,E,med,83.32,,Extender,
DM6,m,mid,06:39:40,8/17/2023,3,13.8,13.9,13.9,,f0000,S,med,83.32,,Extender,
DM6,m,low,06:42:30,8/17/2023,4,14.4,14.5,14.4,,f0000,W,med,83.32,,Extender,
DM6,m,top,06:45:10,8/17/2023,5,13.7,13.8,14.1,,f0000,,med,83.32,,Extender,
DM7,m,mid,11:59:30,8/17/2023,1,34.6,34.2,33.9,,f0001,N,med,83.32,,Extender,
DM7,m,low,12:02:05,8/17/2023,2,32.8,33,33.5,,f0001,E,med,83.32,,Extender,
DM7,m,mid,12:04:35,8/17/2023,3,33.9,33.4,34.3,,f0001,S,med,83.32,,Extender,
DM7,m,low,12:07:15,8/17/2023,4,34.7,31.7,30.5,,f0001,W,med,83.32,,Extender,
DM7,m,top,12:10:00,8/17/2023,5,32.6,34.1,34.5,,f0001,,med,83.32,,Extender,
DM8,m,mid,12:13:10,8/17/2023,1,35.2,36.5,36.8,,f0001,N,med,83.32,,Extender,
DM8,m,low,12:15:45,8/17/2023,2,34.4,36.8,37.5,,f0001,E,med,83.32,,Extender,
DM8,m,mid,12:18:25,8/17/2023,3,34.5,34,33.8,,f0001,S,med,83.32,,Extender,
DM8,m,low,12:21:05,8/17/2023,4,35.7,34.8,34,,f0001,W,med,83.32,,Extender,
DM8,m,top,12:23:40,8/17/2023,5,34.7,37.7,38.3,,f0001,,med,83.32,,Extender,
DM9,m,mid,12:27:40,8/17/2023,1,34.7,34.8,35,,f0001,N,med,83.32,,Extender,
DM9,m,low,12:30:20,8/17/2023,2,34.1,36.6,37.1,,f0001,E,med,83.32,,Extender,
DM9,m,mid,12:33:10,8/17/2023,3,35.5,36,35.4,,f0001,S,med,83.32,,Extender,
DM9,m,low,12:35:50,8/17/2023,4,35.6,35.8,35,,f0001,W,med,83.32,,Extender,
DM9,m,top,12:39:05,8/17/2023,5,33.5,33.8,34,,f0001,,med,83.32,,Extender,
DM7,m,mid,16:59:25,8/17/2023,1,28.9,28.4,28.3,,f0002,N,med,83.32,,Extender,
DM7,m,low,17:02:00,8/17/2023,2,26.5,26.1,26.3,,f0002,E,med,83.32,,Extender,
DM7,m,mid,17:04:30,8/17/2023,3,26.2,26.4,26.6,,f0002,S,med,83.32,,Extender,
DM7,m,low,17:07:05,8/17/2023,4,26.6,26.7,26.9,,f0002,W,med,83.32,,Extender,
DM7,m,top,17:09:45,8/17/2023,5,26.4,26.5,27,,f0002,,med,83.32,,Extender,
DM8,m,mid,17:13:00,8/17/2023,1,27.1,27.3,27.8,,f0002,N,med,83.32,,Extender,
DM8,m,low,17:15:55,8/17/2023,2,28.2,27.7,27.9,,f0002,E,med,83.32,,Extender,
DM8,m,mid,17:18:45,8/17/2023,3,26.2,26,26.1,,f0002,S,med,83.32,,Extender,
DM8,m,low,17:21:30,8/17/2023,4,26.6,27.4,27.6,,f0002,W,med,83.32,,Extender,
DM8,m,top,17:24:30,8/17/2023,5,27.1,27.5,27.5,,f0002,,med,83.32,,Extender,
DM9,m,mid,17:28:30,8/17/2023,1,27.5,27.3,27.7,,f0002,N,med,83.32,,Extender,
DM9,m,low,17:31:25,8/17/2023,2,27.3,27,26.8,,f0002,E,med,83.32,,Extender,
DM9,m,mid,17:34:00,8/17/2023,3,25.7,26,26.2,,f0002,S,med,83.32,,Extender,
DM9,m,low,17:36:40,8/17/2023,4,26.1,27.2,27.6,,f0002,W,med,83.32,,Extender,
DM9,m,top,17:39:40,8/17/2023,5,26.1,26.2,26.4,,f0002,,med,83.32,,Extender,
DM7,m,mid,21:58:45,8/17/2023,1,18.8,16.4,15.9,,f0003,N,med,83.32,,Extender,
DM7,m,low,22:01:15,8/17/2023,2,15,14.8,15.3,,f0003,E,med,83.32,,Extender,
DM7,m,mid,22:03:50,8/17/2023,3,15,15.6,16.1,,f0003,S,med,83.32,,Extender,
DM7,m,low,22:06:25,8/17/2023,4,15.1,16.6,16.8,,f0003,W,med,83.32,,Extender,
DM7,m,top,22:09:10,8/17/2023,5,16.2,18,18.7,,f0003,,med,83.32,,Extender,
DM8,m,mid,22:13:00,8/17/2023,1,17.7,18.3,18.8,,f0003,N,med,83.32,,Extender,
DM8,m,low,22:15:50,8/17/2023,2,17.9,19.5,20.3,,f0003,E,med,83.32,,Extender,
DM8,m,mid,22:18:45,8/17/2023,3,17.9,18.1,18.2,,f0003,S,med,83.32,,Extender,
DM8,m,low,22:21:25,8/17/2023,4,16.8,17,17.3,,f0003,W,med,83.32,,Extender,
DM8,m,top,22:24:05,8/17/2023,5,17,17.4,17.4,,f0003,,med,83.32,,Extender,
DM9,m,mid,22:28:20,8/17/2023,1,14.6,15.9,16.5,,f0003,N,med,83.32,,Extender,
DM9,m,low,22:31:10,8/17/2023,2,15.5,16.7,17.5,,f0003,E,med,83.32,,Extender,
DM9,m,mid,22:34:05,8/17/2023,3,19.8,18.5,18.6,,f0003,S,med,83.32,,Extender,
DM9,m,low,22:36:05,8/17/2023,4,18.3,17.7,18.1,,f0003,W,med,83.32,,Extender,
DM9,m,top,22:39:35,8/17/2023,5,18.4,19,19.4,,f0003,,med,83.32,,Extender,
DM7,m,mid,06:00:45,8/18/2023,1,14.2,13.2,13.1,,f0000,N,med,83.32,,Extender,
DM7,m,low,06:03:20,8/18/2023,2,12.6,12.7,12.8,,f0000,E,med,83.32,,Extender,
DM7,m,mid,06:05:55,8/18/2023,3,12.9,12.9,13,,f0000,S,med,83.32,,Extender,
DM7,m,low,06:08:30,8/18/2023,4,13.4,13.1,13.2,,f0000,W,med,83.32,,Extender,
DM7,m,top,06:11:05,8/18/2023,5,12.8,13,13.4,,f0000,,med,83.32,,Extender,
DM8,m,mid,06:14:25,8/18/2023,1,13.7,13.4,13.5,,f0000,N,med,83.32,,Extender,
DM8,m,low,06:17:00,8/18/2023,2,13.3,13.8,13.8,,f0000,E,med,83.32,,Extender,
DM8,m,mid,06:19:45,8/18/2023,3,13.5,14.6,15.3,,f0000,S,med,83.32,,Extender,
DM8,m,low,06:22:30,8/18/2023,4,13.9,13.5,13.5,,f0000,W,med,83.32,,Extender,
DM8,m,top,06:25:10,8/18/2023,5,13.3,12.8,12.6,,f0000,,med,83.32,,Extender,
DM9,m,mid,06:29:35,8/18/2023,1,13,13.3,13.6,,f0000,N,med,83.32,,Extender,
DM9,m,low,06:32:10,8/18/2023,2,12.8,13.2,13.3,,f0000,E,med,83.32,,Extender,
DM9,m,mid,06:34:55,8/18/2023,3,13.3,13.6,13.7,,f0000,S,med,83.32,,Extender,
DM9,m,low,06:37:35,8/18/2023,4,13.3,13.9,14.1,,f0000,W,med,83.32,,Extender,
DM9,m,top,06:40:15,8/18/2023,5,13.2,13.5,13.6,,f0000,,med,83.32,,Extender,